ISBN,avg_rating,num_ratings
0002236389,8.0,1
0002236400,9.0,1
0002237458,7.5,2
0002237520,8.0,1
0002237857,4.0,1
0002238464,10.0,1
0002238896,8.0,1
0002239183,7.333333333333333,3
0002240009,8.0,1
0002240114,6.75,4
0002241358,8.0,1
0002241471,8.0,1
0002241871,7.0,1
0002242591,8.0,1
0002243016,3.0,1
0002243296,7.0,1
0002243776,7.0,1
0002243792,10.0,1
0002243806,7.0,1
0002243857,6.5,2
0002243865,8.0,1
0002243962,5.75,4
0002244098,6.333333333333333,3
0002245590,8.0,1
0002245663,8.0,1
0002245728,7.0,1
0002245841,9.5,2
0002246236,9.0,1
0002246244,8.0,2
0002246252,9.0,1
0002246376,6.0,1
0002246988,7.0,1
0002247119,8.0,1
0002247267,10.0,1
0002250101,7.0,1
000225056X,10.0,1
0002250810,7.0,1
0002250985,6.0,1
0002251000,7.0,1
0002251485,7.5,2
0002251760,9.0,7
0002251892,6.0,1
0002252031,7.0,2
0002252066,9.5,2
0002252341,9.0,1
0002252376,9.0,1
0002253100,5.0,1
0002253151,6.0,1
0002253178,8.0,1
0002253305,5.5,2
0002253372,8.0,1
0002253402,6.0,1
0002253941,8.0,1
0002254123,7.0,1
0002254131,8.0,1
000225414X,7.5,2
0002254867,5.0,1
0002255006,5.0,1
0002255014,8.666666666666666,3
0002255030,5.0,1
0002255049,7.0,1
0002255081,6.25,4
0002255103,5.0,1
0002255146,9.0,1
000225526X,6.0,2
0002255464,7.0,1
0002255502,5.0,1
0002255553,7.0,1
0002255863,8.0,1
0002255936,8.0,1
0002256029,10.0,1
0002256487,9.0,1
000225669X,6.0,1
000225672X,8.0,1
0002256967,8.0,1
0002257203,8.0,3
0002257548,9.0,2
0002257580,7.0,1
0002257602,3.0,1
0002257904,6.0,1
0002258242,7.0,1
0002258277,10.0,1
0002258366,7.0,1
0002258382,5.0,1
0002258560,7.5,2
0002258579,6.5,2
0002258811,9.0,1
0002259001,8.333333333333334,9
0002259060,8.0,1
000225929X,10.0,1
000225946X,9.0,1
0002259478,6.0,1
0002259613,6.666666666666667,3
0002259621,10.0,1
0002259656,8.0,1
0002259834,6.875,8
0002259877,6.0,1
0002259893,10.0,1
0002259923,7.0,1
0002261022,7.0,1
0002261103,8.0,1
0002261316,5.0,1
0002261324,8.333333333333334,3
0002261456,4.0,3
0002261537,7.0,1
0002261693,8.0,1
0002261804,5.0,1
0002261820,7.5,4
0002261847,3.0,1
0002310597,10.0,1
0002310694,7.0,1
0002311216,8.0,1
0002313219,7.0,1
0002314878,9.0,1
0002316196,6.5,2
0002317141,8.0,1
0002321408,9.0,1
0002324350,8.0,1
0002325780,6.0,1
0002326450,6.0,1
0002326922,9.0,1
000254794,9.0,1
0002550156,5.0,1
0002550555,7.0,1
0002550563,6.5,4
0002551195,9.0,1
0002551462,6.0,1
0002551675,8.0,1
0002552175,10.0,1
0002552574,9.0,1
0002553384,7.0,2
000255397X,9.0,2
0002554062,10.0,1
0002554119,7.0,2
0002554151,9.0,1
0002554232,10.0,1
0002554283,8.0,1
0002555107,7.5,2
0002555298,6.0,1
0002555565,8.0,1
0002555603,10.0,1
0002557029,8.666666666666666,3
0002557398,9.0,1
0002557517,6.0,1
000255755X,10.0,1
0002558122,8.2,10
0002558661,10.0,1
0002570122,9.0,2
0002570807,6.0,2
0002570815,7.5,2
0002570998,4.0,1
0002571390,8.0,1
0002571870,9.0,1
000262052,10.0,1
0002621010,8.0,1
0002621509,9.0,1
0002712172,7.0,1
0002713349,7.0,1
0002713713,8.0,1
0002726874,8.0,1
0002727463,10.0,1
0002740230,7.0,1
000274080X,8.0,1
0003032701,8.0,1
0003135004,4.0,1
0003252477,5.0,1
0003252531,7.0,1
0003277585,9.0,1
0003300277,8.6,5
0003700933,7.0,1
0003701387,8.5,2
0003701484,4.0,1
0003702588,10.0,1
0004102169,4.0,1
0004105028,10.0,1
0004108043,8.0,1
0004123948,9.0,1
0004125436,7.0,1
0004125479,7.0,1
0004125495,6.0,1
0004125576,7.5,2
0004126491,10.0,1
0004127382,6.0,1
0004127854,8.0,1
000412913X,8.0,1
0004133412,10.0,1
0004133439,10.0,1
000414077X,9.5,2
0004244117,10.0,1
0004244141,9.0,1
0004330706,6.0,1
0004330919,7.0,1
0004332040,5.0,1
0004333349,7.0,1
0004334566,10.0,1
0004334787,10.0,1
000433549X,9.0,1
0004356373,10.0,1
0004472306,7.0,1
000458726X,8.0,3
0004588010,10.0,1
0004588177,8.0,1
0004588193,10.0,1
0004595033,10.0,1
0004700481,8.0,1
0004701674,7.666666666666667,3
0004702816,7.0,1
0004703669,7.0,1
0004703723,9.0,1
0004703898,8.0,1
0004704746,10.0,2
0004704754,10.0,1
0004704932,10.0,1
0004708105,9.0,1
0004708717,7.0,1
0004709721,6.0,1
000470973X,6.0,1
0004709934,8.0,1
0004709950,9.0,1
0004720148,8.0,1
0004720164,7.0,1
0004720695,7.0,1
0004722124,8.5,2
0004723023,8.0,1
0004723171,6.0,1
0004723708,8.0,2
0004724097,9.0,1
0004725042,7.0,1
0005128412,9.0,1
00053416,7.0,1
0005481213,7.0,1
00059204,8.0,1
00059238,8.0,1
000599134X,10.0,1
0006093090X,9.0,2
000611962X,7.0,1
0006121802,9.0,1
0006121810,4.0,1
0006125107,5.0,1
0006127665,8.0,1
0006127754,7.666666666666667,3
0006129455,8.0,2
0006129471,8.0,1
0006129714,5.0,1
0006131409,7.0,1
0006132138,6.0,1
0006133606,6.0,1
000613551X,8.0,2
0006137121,8.0,1
0006137156,8.0,1
0006137962,8.0,1
0006138179,8.0,1
0006140378,7.0,1
0006140831,10.0,1
0006140858,10.0,1
0006142737,9.0,1
0006143199,7.0,2
0006144500,6.0,1
0006145264,8.0,1
0006145892,10.0,1
0006145922,9.0,1
0006146570,7.0,1
0006149995,8.0,1
0006150624,9.0,1
0006150853,10.0,1
0006151752,5.0,1
00061523,9.0,1
0006152392,9.0,1
0006152988,5.0,1
0006153100,8.0,1
0006153402,8.0,1
0006154077,8.0,1
0006156487,7.0,1
0006157009,7.0,1
0006157505,6.0,1
0006157629,9.0,3
0006157688,7.0,1
000615929,5.0,1
000615929X,7.0,2
0006159532,5.0,1
0006161308,8.0,1
0006161529,7.5,2
0006161731,8.0,1
0006161820,4.5,2
0006162630,8.0,1
0006162657,5.0,1
0006162746,10.0,1
0006163041,10.0,1
0006163831,3.0,1
0006164498,7.0,1
0006164625,4.0,1
0006164757,5.0,1
0006164897,6.0,1
0006164900,5.0,1
0006165109,4.0,1
000616532X,8.5,2
0006165338,7.0,1
0006165400,7.666666666666667,3
0006165516,7.5,2
0006165591,8.0,1
0006165710,6.0,1
0006166490,10.0,1
0006166512,10.0,1
000616659,8.0,1
0006166598,5.0,1
0006166911,8.0,1
0006167004,5.333333333333333,3
0006167144,8.0,1
0006167241,7.5,2
0006167365,6.0,2
0006167578,4.0,1
0006167926,10.0,1
0006167934,8.5,2
0006168000,8.0,1
0006168035,8.0,1
0006168086,8.0,1
0006168167,8.0,1
0006168175,5.0,1
000616823X,10.0,1
0006168663,9.0,1
0006168914,10.0,1
0006168957,8.0,2
0006168965,7.0,1
0006168973,8.5,2
0006169015,8.0,1
0006169120,8.0,1
000616918X,5.0,1
0006169260,6.0,1
0006169376,5.0,1
0006170048,8.0,1
0006170064,9.0,3
0006170099,7.0,1
0006170110,8.0,1
0006170250,9.0,1
0006170706,7.5,2
0006170862,6.0,1
0006171168,5.0,1
0006171583,6.0,1
0006171729,9.0,1
0006171788,6.0,1
0006171893,8.0,1
0006171966,5.0,1
0006171982,7.0,1
0006172466,8.0,1
0006172768,7.5,6
0006172830,7.0,1
000617342X,2.0,1
0006173624,8.0,2
0006174353,8.0,1
0006174426,5.0,1
0006174558,7.333333333333333,3
0006174698,8.0,1
0006174701,8.0,1
0006174752,7.0,1
0006174760,6.0,1
0006174779,7.0,1
0006174795,5.0,1
0006174841,8.0,1
0006174892,9.0,2
000617499X,9.0,1
000617501,10.0,1
0006175015,6.0,2
0006175279,7.0,1
0006175317,5.0,1
0006175473,7.0,1
0006176097,8.0,1
000617616X,6.75,4
0006176542,7.0,1
0006176666,7.0,1
0006176747,6.0,1
0006176909,8.25,4
000617695X,6.0,1
0006176976,7.0,1
0006176992,10.0,1
0006177492,6.0,2
0006177980,5.0,2
0006178006,9.0,1
0006178049,9.0,1
0006178057,8.0,1
0006178316,6.0,1
0006178456,8.0,2
0006178693,6.0,1
0006178715,6.0,1
0006178936,5.0,1
0006179088,8.5,2
0006179169,7.0,1
0006179223,8.0,2
0006179371,8.0,2
0006240038,8.0,1
000624565X,8.333333333333334,3
0006245706,8.0,1
0006253725,8.0,1
0006255450,10.0,1
0006268501,6.0,1
0006271197,9.0,1
0006275192,9.5,2
0006278914,8.5,2
0006279945,5.0,1
0006280625,9.0,1
0006280803,8.0,2
0006280838,8.0,1
0006280951,5.0,1
0006281257,8.0,2
0006281443,8.0,1
0006281656,8.0,1
0006281729,9.0,1
0006281745,8.0,1
0006329101,3.0,1
0006329527,5.0,1
0006329535,6.0,1
0006334075,7.0,1
0006351484,6.0,1
0006352537,5.0,1
0006353282,10.0,1
0006356095,6.0,1
0006358594,8.0,1
0006361684,7.5,2
0006361846,10.0,1
0006363062,6.0,1
0006363113,8.0,1
0006363121,8.5,2
0006364276,7.0,1
0006364586,7.0,1
0006364896,6.0,1
0006364942,9.0,1
0006364977,8.0,1
000636540X,9.0,1
0006365434,10.0,1
0006365744,8.0,1
0006366023,6.5,2
0006367534,4.0,2
0006367763,8.0,1
0006369553,10.0,1
000636988X,9.0,2
0006370004,8.0,1
0006370039,7.0,1
0006370101,6.0,1
0006370527,8.5,2
0006370829,9.5,2
0006371248,9.0,2
0006371647,8.0,1
0006372295,7.0,2
0006372570,5.0,1
0006372899,7.0,1
0006374603,9.0,1
0006374921,8.75,8
0006375227,5.0,1
0006375340,8.0,1
0006375952,7.0,3
000637610X,5.0,1
0006377157,7.333333333333333,3
0006377424,8.0,1
0006377807,8.0,1
0006377815,7.0,1
0006377823,7.0,1
0006377890,4.0,1
000637803X,8.0,1
0006378870,8.0,1
000637946X,4.0,1
0006379540,9.0,1
0006379583,5.0,1
0006379702,6.0,3
0006379834,5.0,1
0006380158,8.0,1
0006380263,8.0,2
0006380921,7.333333333333333,3
0006380964,8.0,1
0006382649,6.0,1
0006382991,10.0,1
0006383777,6.0,1
000638384X,10.0,1
0006384684,8.0,1
0006384722,8.0,1
0006384854,7.0,1
0006385125,1.0,1
0006385176,7.0,1
0006385370,7.0,1
0006385400,9.0,1
0006385427,8.0,5
0006385621,9.0,1
0006385648,5.0,1
0006385729,10.0,1
0006385907,7.0,2
0006385923,8.0,1
0006385958,8.0,2
0006386075,7.0,1
0006386369,9.0,1
0006386725,8.0,1
0006387462,10.0,1
0006388205,7.0,1
000638837X,10.0,1
0006388515,5.0,1
0006388973,8.0,1
0006391079,8.0,1
0006391389,7.5,2
0006391745,6.5,2
0006391761,6.0,1
0006391931,10.0,1
000639194X,10.0,2
0006392121,7.25,4
0006392172PBK,7.0,2
00063922121,8.0,1
0006392237,6.5,4
0006392466,5.0,1
0006392520,5.0,1
0006392555,7.5,2
0006392725,9.0,1
000639292,8.0,1
000639292X,8.0,2
0006392938,7.0,3
0006392954,8.0,1
0006392962,9.0,1
0006392970,7.0,2
0006393012,3.0,1
0006393071,10.0,1
00064409422,10.0,1
00064445,9.0,1
000644714620,5.0,1
000646466,7.0,1
0006470033,9.0,1
000647019X,5.0,1
0006470653,7.0,2
0006470688,6.0,1
0006471161,8.0,1
0006471250,5.0,2
0006471501,8.0,1
0006471641,7.0,5
0006472079,6.0,1
0006472087,9.0,1
0006472184,8.0,2
0006472257,7.0,1
0006472273,7.0,1
0006472427,7.5,4
0006472524,9.0,1
0006472613,8.0,1
0006472648,7.0,2
0006473016,8.0,1
0006473113,10.0,1
0006473334,9.0,2
0006473342,6.0,1
0006473369,8.5,2
0006473377,7.0,2
0006474004,9.0,1
000647425X,8.0,3
0006474292,7.0,1
0006474950,6.0,2
0006475043,8.0,1
0006475124,7.0,1
0006475272,6.0,1
0006475973,7.142857142857143,7
0006476007,10.0,1
0006476066,7.0,1
0006476155,7.25,4
000647618X,8.5,2
0006476201,7.0,2
0006476260,9.0,1
0006476333,7.0,1
0006476414,8.0,1
0006476538,7.0,1
0006476589,7.5,2
0006477100,5.5,2
0006477143,7.0,1
0006477151,8.0,1
0006477232,7.0,3
00064778727,7.0,1
0006478549,5.0,1
000647859X,7.5,2
0006478662,10.0,1
0006478670,7.0,1
0006478697,4.666666666666667,3
0006478719,7.0,1
0006478727,7.5,2
0006478735,9.0,1
0006478921,5.0,1
0006479278,7.666666666666667,3
0006479286,7.0,1
0006479367,10.0,1
0006479383,8.0,1
0006479499,8.0,2
0006479502,10.0,1
0006479553,10.0,1
0006479677,7.0,1
000647974X,8.5,2
0006479758,8.0,1
0006479839,8.0,1
0006479898,8.0,1
0006479944,6.0,1
0006480047,8.0,1
0006480217,6.0,1
0006480225,5.5,2
0006480268,8.5,2
0006480365,8.0,1
0006480411,7.666666666666667,3
000648042X,10.0,1
0006480438,9.0,1
0006480535,6.0,1
0006480551,8.0,2
0006480608,7.0,1
0006480764,5.625,8
0006480837,7.0,1
0006480918,9.5,2
0006480985,7.0,1
0006481078,7.0,2
0006481213,9.25,4
0006481221,7.0,1
0006481566,7.5,2
0006481604,5.0,1
0006481841,8.0,1
000648185X,10.0,1
0006481957,9.0,1
0006481973,8.0,1
000648199X,6.0,1
0006482023,8.0,1
0006482031,5.0,1
000648204,6.0,1
0006482058,5.0,3
0006482139,9.0,1
0006482333,6.0,1
0006482511,5.0,1
0006482643,5.666666666666667,3
0006482651,7.0,1
0006482686,5.0,1
0006482783,7.333333333333333,3
0006482821,9.0,1
0006482872,8.0,1
0006482880,6.0,1
0006483003,8.0,1
000648302X,6.5,10
0006483054,7.0,1
0006483240,8.0,1
0006483461,7.0,1
0006483488,8.0,1
0006483550,6.0,1
0006483658,7.0,1
0006483704,9.0,1
0006483747,7.0,1
0006483763,7.0,1
000648381X,9.0,1
0006483836,8.0,1
0006483933,10.0,1
000648501,4.0,1
0006485014,6.777777777777778,9
000648512X,7.0,1
0006485138,8.0,3
0006485200,8.6,5
000648526X,7.666666666666667,3
0006485278,8.75,4
0006485294,7.5,4
0006485324,8.5,2
0006485383,7.5,2
0006485421,6.0,1
0006485464,7.0,1
0006485707,10.0,1
0006485715,8.0,1
0006485820,4.0,1
0006485855,7.75,4
000648588X,8.0,1
0006485936,8.4,5
0006485979,6.5,2
0006486045,6.0,1
0006490018,7.0,4
0006490085,7.0,1
0006490239,3.0,1
0006490263,6.5,2
0006490328,10.0,1
0006490344,10.0,1
0006490352,8.0,1
0006490603,10.0,3
0006492126,10.0,1
0006492347,7.75,4
0006493122,9.0,1
0006493157,8.666666666666666,3
0006493181,4.0,1
0006493203,2.0,1
0006493556,7.0,1
0006493580,7.0,9
0006493599,5.0,1
000649613X,5.5,2
0006496334,9.0,1
0006496400,7.0,1
0006496423,7.5,4
000649644X,8.0,1
0006496458,8.0,1
0006496466,6.0,1
000649658X,6.333333333333333,3
0006496598,5.0,1
0006496601,8.0,1
0006496733,3.0,1
0006496741,3.0,2
0006496776,7.5,2
0006496946,7.0,4
0006497012,9.0,1
000649708X,7.0,1
0006497721,7.5,2
0006497802,8.25,4
0006497993,7.5,4
0006498019,9.0,1
0006498027,6.666666666666667,3
0006498035,5.0,2
000649806X,6.0,1
0006498132,8.0,1
0006498140,5.666666666666667,3
0006498329,7.666666666666667,3
000649840,8.0,1
000649840X,7.7560975609756095,41
000649840x,8.0,2
0006498469,6.0,1
0006498493,10.0,1
0006498744,9.0,2
0006498752,8.0,1
000649885X,3.0,1
0006498884,3.0,1
0006499023,5.0,1
0006499031,7.0,1
0006499058,8.0,1
0006499090,7.0,1
0006499155,7.0,3
0006499198,9.0,1
0006499287,5.0,1
000649935X,7.0,1
0006499422,6.0,1
000649952X,8.0,1
0006499597,8.0,1
0006499600,8.0,1
0006499643,9.0,1
0006499694,8.0,1
0006499716,7.0,1
000649983X,8.5,6
0006499937,8.0,1
0006499988,8.0,1
000650967,5.0,1
0006510019,8.0,1
0006510094,8.0,1
0006510183,8.666666666666666,3
0006510272,6.0,1
0006510310,8.0,1
0006510345,8.6,5
0006510507,7.0,1
0006510531,6.5,2
0006510558,6.0,1
0006510590,8.0,2
0006510639,5.0,1
0006510647,8.5,2
0006510663,6.0,2
0006510876,7.0,1
0006510884,7.0,1
0006510906,9.0,1
0006510973,7.0,1
0006511112,9.0,1
0006511120,8.0,2
0006511147,7.0,1
0006511155,6.0,1
000651118X,7.0,1
0006511252,8.0,1
0006511309,7.0,1
0006511414,5.0,1
0006511449,6.0,1
0006511481,9.0,2
0006511724,9.0,1
0006511767,8.5,4
0006511775,9.0,1
0006511821,7.0,1
000651183X,7.0,1
0006511848,7.0,1
0006511856,7.0,1
000651202X,7.333333333333333,3
000651202x,9.0,1
0006512038,6.0,1
0006512046,9.0,3
0006512054,6.0,3
0006512062,7.333333333333333,3
0006512070,7.5,2
0006512135,6.666666666666667,9
0006512143,7.0,1
0006512208,8.333333333333334,3
0006512240,7.666666666666667,3
0006512461,8.0,1
0006512631,8.0,3
000651264X,7.0,1
0006512658,5.0,1
0006512666,6.5,4
0006512674,8.5,4
0006512690,4.5,2
0006512801,6.0,2
0006512887,9.0,1
0006512925,4.0,1
0006513077,8.0,1
0006513107,7.0,2
0006513123,10.0,1
0006513190,7.0,1
0006513204,7.4,15
0006513220,9.454545454545455,11
0006513239,6.75,4
000651330,5.0,1
0006513409,4.0,1
0006513417,6.5,2
0006513506,8.0,1
0006513751,7.0,1
0006513816,5.0,1
0006513840,7.8,5
0006513905,6.666666666666667,3
0006514006,8.0,4
0006514057,7.0,2
0006514073,8.0,1
000651409,9.0,1
000651409X,5.0,2
000651412X,6.0,2
0006514138,10.0,1
000651415,7.0,1
0006514189,7.0,3
0006514197,7.0,3
0006514219,8.0,8
0006514243,8.0,1
0006514278,1.0,1
0006514286,5.5,2
0006514324,7.333333333333333,3
0006514340,6.0,1
0006514367,7.0,1
0006514375,4.666666666666667,3
0006514391,8.0,1
0006514480,7.0,3
0006514588,6.0,4
0006514693,8.333333333333334,3
0006514766,9.0,1
0006514774,3.0,1
0006514782,4.5,2
0006514812,7.0,2
0006514855,7.0,12
0006514952,7.666666666666667,3
0006514960,9.0,1
000652320,6.5,2
0006530400,8.375,8
000653063X,9.0,2
0006530826,8.0,1
0006531156,5.25,4
0006531407,8.0,1
0006531520,4.0,1
000653175x,8.0,1
0006531768,5.5,4
0006531776,6.5,4
0006531903,10.0,1
00065390400,7.0,1
0006540031,7.0,1
0006540449,7.0,1
0006540732,9.5,2
0006541089,8.0,1
0006541224,5.0,1
0006541380,7.0,1
0006541569,9.0,1
0006541690,8.0,1
0006541739,5.0,1
0006542379,7.0,1
0006542549,7.0,1
0006542719,6.0,1
0006542808,5.0,1
0006543073,5.0,1
0006543545,6.75,4
0006543588,8.0,1
000654360X,7.0,1
0006543707,6.0,1
0006543863,5.0,1
0006543936,7.0,1
000654428,7.0,1
0006544657,5.666666666666667,3
0006544738,7.0,1
0006544827,7.666666666666667,3
0006544959,8.0,3
0006544975,7.0,1
0006545068,9.0,1
0006545084,8.0,1
0006545106,5.0,2
0006545483,9.0,1
0006545726,6.0,1
0006545793,8.0,2
0006545807,8.0,1
0006545815,7.0,1
0006545831,6.0,1
000654584X,7.0,1
0006545998,10.0,1
0006546064,7.0,1
000654634X,7.0,1
0006546684,7.0,7
000654679X,4.0,1
0006546838,6.2,5
0006546846,6.0,1
0006546978,8.5,2
0006547001,7.0,2
0006547168,4.0,1
0006547249,7.0,1
000654729X,7.0,1
0006547311,9.0,1
000654732X,7.0,1
0006547346,7.75,4
0006547384,7.0,1
0006547478,8.0,1
0006547486,7.0,1
0006547613,8.0,3
0006547745,6.5,2
0006547753,9.0,2
0006547834,8.066666666666666,15
0006548024,7.0,1
0006548180,7.5,2
0006548210,7.0,1
0006548253,9.0,1
0006548539,8.5,2
0006548555,7.0,1
0006548563,7.0,1
0006548598,6.857142857142857,7
000654861X,9.333333333333334,3
0006548695,8.0,1
0006548717,3.0,1
0006548814,9.5,2
0006548830,6.75,4
0006550002,8.0,1
0006550061,7.0,2
0006550169,8.0,1
0006550185,5.0,1
0006550193,7.5,2
0006550266,9.0,2
00065503701,9.0,2
0006550401,7.0,2
0006550436,7.2,5
0006550479,8.0,1
0006550487,6.0,2
0006550517,8.0,1
0006550525,7.0,1
0006550576,7.266666666666667,15
0006550649,5.25,4
000655068,8.0,1
0006550681,8.357142857142858,14
0006550711,8.5,2
0006550789,7.5,12
0006550835,8.0,2
0006550851,7.0,1
0006550878,7.0,1
0006550894,10.0,1
0006550924,8.0,5
0006550975,7.333333333333333,3
0006551076,6.0,1
0006551092,7.75,8
0006551114,10.0,2
00065511140,6.0,1
0006551238,7.0,4
0006551270,8.0,2
0006551351,5.0,1
000655136X,6.0,1
0006551386,7.0,1
0006551599,6.0,1
0006551602,5.0,1
0006551785,7.0,1
0006551793,9.0,3
0006551815,4.5,2
0006551823,8.0,1
0006551858,5.0,1
0006551912,5.0,1
0006551920,8.0,1
0006551939,4.0,1
0006551971,8.125,8
0006552021,6.0,1
0006552110,9.0,1
000655220X,8.0,2
0006552250,6.0,2
0006552293,9.0,1
0006552307,10.0,1
0006552315,5.0,1
0006552390,7.0,4
0006552412,6.5,6
000655248X,3.0,1
000655736X,8.0,1
00065854,6.0,1
0006606415,6.0,1
000661471X,7.0,1
0006619444,5.0,1
0006626874,10.0,1
0006640621,7.0,1
0006640672,6.0,1
0006640680,10.0,1
0006640869,10.0,1
0006642004,5.0,1
0006645097,7.0,1
000665136X,10.0,1
0006705286,10.0,1
0006705294,10.0,1
0006706134,9.0,1
0006708013,8.5,2
000670891576,8.0,3
0006709931,7.0,1
000671000X,7.0,1
0006710816,10.0,1
000671210X,9.0,1
0006712274,8.0,1
0006715184,8.0,1
0006716636,9.0,2
0006716644,10.0,1
0006716652,8.5,4
0006716660,10.0,1
0006716679,9.0,3
0006716687,8.5,2
0006716695,10.0,1
0006716725,6.0,1
0006716733,6.0,1
0006716741,6.0,1
000671675X,7.0,2
0006717047,10.0,1
0006717659,7.5,2
0006717667,8.0,1
0006718116,8.0,1
0006719619,6.0,1
0006722253,8.5,2
0006722482,8.0,1
000672296,8.0,1
0006722970,8.0,1
0006723977,5.0,1
0006724159,8.2,5
0006724590,9.5,2
000672566X,9.5,2
0006726143,8.0,1
0006727735,10.0,1
0006727905,7.0,1
0006729290,7.0,1
0006729835,8.0,1
0006730124,9.0,1
0006730515,9.0,1
000673765X,10.0,1
0006740200,8.0,1
0006740359,7.0,1
0006740588,10.0,1
0006742815,6.0,1
0006742912,7.0,1
0006742939,7.333333333333333,6
0006742947,8.0,2
0006743242,5.0,1
0006743455,1.0,1
0006743463,7.0,1
0006744192,7.0,1
0006744214,7.0,1
0006744249,7.0,1
